Timestamp,Cycle_1,Mode_1,Voltage_1,Current_1,SOC_1,Strain_1,Temp_1,Cycle_2,Mode_2,Voltage_2,Current_2,SOC_2,Strain_2,Temp_2,Cycle_3,Mode_3,Voltage_3,Current_3,SOC_3,Strain_3,Temp_3
2025-10-17 11:38:53,1,charge,2.511,3.0,0.5,0.317,24.26,1,charge,2.509,3.0,0.5,0.21,25.46,1,charge,2.508,3.0,0.5,0.44,25.68
2025-10-17 11:38:54,1,charge,2.524,3.0,1.0,0.281,24.17,1,charge,2.523,3.0,1.0,0.491,24.39,1,charge,2.521,3.0,1.0,0.351,25.42
2025-10-17 11:38:55,1,charge,2.539,3.0,1.5,0.171,24.43,1,charge,2.532,3.0,1.5,0.225,25.07,1,charge,2.533,3.0,1.5,0.233,26.77
2025-10-17 11:38:56,1,charge,2.554,3.0,2.0,0.387,26.05,1,charge,2.542,3.0,2.0,0.141,25.03,1,charge,2.543,3.0,2.0,0.282,26.26
2025-10-17 11:38:57,1,charge,2.561,3.0,2.5,0.216,26.56,1,charge,2.557,3.0,2.5,0.493,26.47,1,charge,2.549,3.0,2.5,0.278,24.27
2025-10-17 11:38:58,1,charge,2.573,3.0,3.0,0.472,24.94,1,charge,2.572,3.0,3.0,0.235,25.23,1,charge,2.557,3.0,3.0,0.113,25.51
2025-10-17 11:38:59,1,charge,2.58,3.0,3.5,0.192,27.64,1,charge,2.585,3.0,3.5,0.458,25.85,1,charge,2.571,3.0,3.5,0.413,23.91
2025-10-17 11:39:00,1,charge,2.586,3.0,4.0,0.436,25.55,1,charge,2.591,3.0,4.0,0.423,26.87,1,charge,2.582,3.0,4.0,0.125,27.02
2025-10-17 11:39:01,1,charge,2.592,3.0,4.5,0.317,26.94,1,charge,2.6,3.0,4.5,0.223,26.67,1,charge,2.591,3.0,4.5,0.347,24.63
2025-10-17 11:39:02,1,charge,2.602,3.0,5.0,0.245,26.96,1,charge,2.614,3.0,5.0,0.221,26.28,1,charge,2.601,3.0,5.0,0.361,25.49
2025-10-17 11:39:03,1,charge,2.613,3.0,5.5,0.158,24.85,1,charge,2.62,3.0,5.5,0.118,25.54,1,charge,2.616,3.0,5.5,0.241,25.64
2025-10-17 11:39:04,1,charge,2.627,3.0,6.0,0.221,27.18,1,charge,2.634,3.0,6.0,0.128,24.82,1,charge,2.625,3.0,6.0,0.363,24.33
2025-10-17 11:39:05,1,charge,2.642,3.0,6.5,0.487,27.77,1,charge,2.647,3.0,6.5,0.411,26.99,1,charge,2.635,3.0,6.5,0.133,26.12
2025-10-17 11:39:06,1,charge,2.65,3.0,7.0,0.461,27.09,1,charge,2.654,3.0,7.0,0.389,26.41,1,charge,2.649,3.0,7.0,0.28,26.12
2025-10-17 11:39:07,1,charge,2.664,3.0,7.5,0.335,25.44,1,charge,2.665,3.0,7.5,0.262,27.76,1,charge,2.658,3.0,7.5,0.121,26.81
2025-10-17 11:39:08,1,charge,2.677,3.0,8.0,0.129,25.14,1,charge,2.678,3.0,8.0,0.374,28.13,1,charge,2.672,3.0,8.0,0.301,28.26
2025-10-17 11:39:09,1,charge,2.684,3.0,8.5,0.447,25.28,1,charge,2.687,3.0,8.5,0.445,24.82,1,charge,2.68,3.0,8.5,0.129,25.22
2025-10-17 11:39:10,1,charge,2.691,3.0,9.0,0.391,27.64,1,charge,2.696,3.0,9.0,0.226,27.12,1,charge,2.694,3.0,9.0,0.177,27.96
2025-10-17 11:39:11,1,charge,2.698,3.0,9.5,0.189,25.95,1,charge,2.706,3.0,9.5,0.321,25.33,1,charge,2.704,3.0,9.5,0.446,25.95
2025-10-17 11:39:12,1,charge,2.711,3.0,10.0,0.479,28.17,1,charge,2.72,3.0,10.0,0.285,26.41,1,charge,2.714,3.0,10.0,0.118,25.21
2025-10-17 11:39:13,1,charge,2.723,3.0,10.5,0.297,26.06,1,charge,2.732,3.0,10.5,0.17,25.77,1,charge,2.727,3.0,10.5,0.398,26.71
2025-10-17 11:39:14,1,charge,2.733,3.0,11.0,0.482,26.7,1,charge,2.744,3.0,11.0,0.345,25.86,1,charge,2.738,3.0,11.0,0.339,28.88
2025-10-17 11:39:15,1,charge,2.739,3.0,11.5,0.467,25.53,1,charge,2.75,3.0,11.5,0.291,28.26,1,charge,2.744,3.0,11.5,0.121,26.91
2025-10-17 11:39:16,1,charge,2.744,3.0,12.0,0.213,28.81,1,charge,2.765,3.0,12.0,0.283,27.85,1,charge,2.757,3.0,12.0,0.3,28.21
2025-10-17 11:39:17,1,charge,2.759,3.0,12.5,0.262,27.97,1,charge,2.775,3.0,12.5,0.296,26.15,1,charge,2.77,3.0,12.5,0.27,25.76
2025-10-17 11:39:18,1,charge,2.773,3.0,13.0,0.341,27.48,1,charge,2.783,3.0,13.0,0.148,27.14,1,charge,2.78,3.0,13.0,0.391,26.44
2025-10-17 11:39:19,1,charge,2.783,3.0,13.5,0.494,28.16,1,charge,2.798,3.0,13.5,0.112,29.18,1,charge,2.793,3.0,13.5,0.224,26.76
2025-10-17 11:39:20,1,charge,2.79,3.0,14.0,0.333,28.63,1,charge,2.803,3.0,14.0,0.164,27.22,1,charge,2.804,3.0,14.0,0.102,28.55
2025-10-17 11:39:21,1,charge,2.797,3.0,14.5,0.476,29.89,1,charge,2.816,3.0,14.5,0.23,27.82,1,charge,2.809,3.0,14.5,0.366,29.09
2025-10-17 11:39:22,1,charge,2.807,3.0,15.0,0.24,28.9,1,charge,2.825,3.0,15.0,0.349,29.24,1,charge,2.824,3.0,15.0,0.423,29.45
2025-10-17 11:39:23,1,charge,2.821,3.0,15.5,0.484,29.8,1,charge,2.833,3.0,15.5,0.27,26.62,1,charge,2.831,3.0,15.5,0.254,27.9
2025-10-17 11:39:24,1,charge,2.835,3.0,16.0,0.441,26.88,1,charge,2.842,3.0,16.0,0.162,26.26,1,charge,2.842,3.0,16.0,0.222,29.29
2025-10-17 11:39:25,1,charge,2.841,3.0,16.5,0.215,28.53,1,charge,2.854,3.0,16.5,0.327,27.4,1,charge,2.856,3.0,16.5,0.112,28.61
2025-10-17 11:39:26,1,charge,2.85,3.0,17.0,0.219,28.55,1,charge,2.868,3.0,17.0,0.197,29.91,1,charge,2.863,3.0,17.0,0.412,30.29
2025-10-17 11:39:27,1,charge,2.856,3.0,17.5,0.256,28.6,1,charge,2.878,3.0,17.5,0.479,29.92,1,charge,2.875,3.0,17.5,0.271,29.18
2025-10-17 11:39:28,1,charge,2.862,3.0,18.0,0.164,28.86,1,charge,2.886,3.0,18.0,0.451,29.06,1,charge,2.888,3.0,18.0,0.248,30.17
2025-10-17 11:39:29,1,charge,2.87,3.0,18.5,0.153,27.65,1,charge,2.9,3.0,18.5,0.251,30.58,1,charge,2.9,3.0,18.5,0.203,29.14
2025-10-17 11:39:30,1,charge,2.876,3.0,19.0,0.199,27.65,1,charge,2.907,3.0,19.0,0.483,30.76,1,charge,2.908,3.0,19.0,0.404,29.92
2025-10-17 11:39:31,1,charge,2.89,3.0,19.5,0.146,29.45,1,charge,2.915,3.0,19.5,0.33,28.27,1,charge,2.917,3.0,19.5,0.108,27.0
2025-10-17 11:39:32,1,charge,2.899,3.0,20.0,0.44,27.18,1,charge,2.923,3.0,20.0,0.289,30.29,1,charge,2.925,3.0,20.0,0.32,28.09
2025-10-17 11:39:33,1,charge,2.91,3.0,20.5,0.32,29.66,1,charge,2.934,3.0,20.5,0.1,29.4,1,charge,2.94,3.0,20.5,0.497,28.62
2025-10-17 11:39:34,1,charge,2.923,3.0,21.0,0.233,30.66,1,charge,2.943,3.0,21.0,0.167,29.69,1,charge,2.951,3.0,21.0,0.363,27.24
2025-10-17 11:39:35,1,charge,2.93,3.0,21.5,0.212,27.35,1,charge,2.952,3.0,21.5,0.311,28.35,1,charge,2.961,3.0,21.5,0.409,30.79
2025-10-17 11:39:36,1,charge,2.937,3.0,22.0,0.39,29.92,1,charge,2.967,3.0,22.0,0.339,29.04,1,charge,2.968,3.0,22.0,0.464,29.84
2025-10-17 11:39:37,1,charge,2.951,3.0,22.5,0.434,28.03,1,charge,2.973,3.0,22.5,0.13,31.02,1,charge,2.976,3.0,22.5,0.267,31.39
2025-10-17 11:39:38,1,charge,2.961,3.0,23.0,0.372,30.07,1,charge,2.981,3.0,23.0,0.17,31.43,1,charge,2.988,3.0,23.0,0.292,28.9
2025-10-17 11:39:39,1,charge,2.975,3.0,23.5,0.2,31.15,1,charge,2.987,3.0,23.5,0.312,31.39,1,charge,2.996,3.0,23.5,0.194,29.68
2025-10-17 11:39:40,1,charge,2.983,3.0,24.0,0.266,28.43,1,charge,3.001,3.0,24.0,0.142,31.27,1,charge,3.004,3.0,24.0,0.145,29.59
2025-10-17 11:39:41,1,charge,2.991,3.0,24.5,0.157,31.25,1,charge,3.012,3.0,24.5,0.421,29.56,1,charge,3.013,3.0,24.5,0.244,29.31
2025-10-17 11:39:42,1,charge,2.997,3.0,25.0,0.347,29.88,1,charge,3.023,3.0,25.0,0.487,31.27,1,charge,3.019,3.0,25.0,0.279,31.69
2025-10-17 11:39:43,1,charge,3.008,3.0,25.5,0.436,32.01,1,charge,3.036,3.0,25.5,0.186,30.36,1,charge,3.034,3.0,25.5,0.258,29.46
2025-10-17 11:39:44,1,charge,3.019,3.0,26.0,0.42,30.61,1,charge,3.049,3.0,26.0,0.282,30.2,1,charge,3.045,3.0,26.0,0.369,31.11
2025-10-17 11:39:45,1,charge,3.027,3.0,26.5,0.371,31.27,1,charge,3.058,3.0,26.5,0.133,28.74,1,charge,3.052,3.0,26.5,0.199,29.56
